TF,Re,TL_OUT,TU_OUT,Tb,Tb_max,PL_in,PL_out,PU_in,PU_out,hi,wc,ho,Dhi,Dho,Dh_m,vin,del_PL,del_PU,del_p,Rth,T_mean,h_mean,f,Nu
0.26,200,297.44,295.19,302.45,303.53,41208,216.97,41208,215.59,833.3333333,100,216.6666667,178.5714286,136.8421053,157.7067669,1.125385694,40991.03,40992.41,40991.72,0.1038,294.7325,129575.6398,0.25567963,34.0582587
0.28,200,297.49,295.22,302.5,303.58,38459,189.69,38458,188.56,820.3125,100,229.6875,178.2682513,139.3364929,158.8023721,1.127299615,38269.31,38269.44,38269.375,0.1043,294.7525,129073.8948,0.239542223,34.16206778
0.3,200,297.55,295.25,302.54,303.63,36143,167.35,36143,167.49,807.6923077,100,242.3076923,177.9661017,141.5730337,159.7695677,1.129213537,35975.65,35975.51,35975.58,0.1048,294.775,128783.0006,0.225788673,34.2926739
0.32,200,297.6,295.29,302.59,303.68,34168,148.95,34167,149.05,795.4545455,100,254.5454545,177.6649746,143.5897436,160.6273591,1.131127458,34019.05,34017.95,34018.5,0.1053,294.7975,128328.521,0.213926225,34.35511905
0.34,200,297.65,295.32,302.63,303.72,32462,133.97,32461,133.73,783.5820896,100,266.4179104,177.3648649,145.4175153,161.3911901,1.133041379,32328.03,32327.27,32327.65,0.1057,294.8175,128000,0.203570506,34.43012055
0.36,200,297.7,295.35,302.68,303.77,30973,121.38,30973,121.27,772.0588235,100,277.9411765,177.0657673,147.0817121,162.0737397,1.1349553,30851.62,30851.73,30851.675,0.1062,294.8375,127510.3602,0.194440319,34.44346821
0.38,200,297.75,295.38,302.72,303.82,29662,110.91,29662,110.35,760.8695652,100,289.1304348,176.7676768,148.603352,162.6855144,1.136869222,29551.09,29551.65,29551.37,0.1067,294.8575,127186.0095,0.186319335,34.48553564
0.4,200,297.8,295.41,302.76,303.86,28499,101.88,28499,101.29,750,100,300,176.4705882,150,163.2352941,1.138783143,28397.12,28397.71,28397.415,0.1071,294.8775,126863.3048,0.179045435,34.51428145
0.42,200,297.84,295.44,302.81,303.91,27459,94.121,27459,93.535,739.4366197,100,310.5633803,176.1744966,151.2864494,163.730473,1.140697064,27364.879,27365.465,27365.172,0.1076,294.895,126342.3879,0.172480296,34.47683155
0.44,200,297.89,295.47,302.85,303.96,26523,87.145,26523,87.146,729.1666667,100,320.8333333,175.879397,152.4752475,164.1773223,1.142610985,26435.855,26435.854,26435.8545,0.1081,294.915,126023.9445,0.166518377,34.48378959
0.46,200,297.93,295.5,302.89,304,25676,81.173,25676,81.19,719.1780822,100,330.8219178,175.5852843,153.5771065,164.5811954,1.144524907,25594.827,25594.81,25594.8185,0.1085,294.9325,125667.6092,0.161077251,34.47087557
0.48,200,297.98,295.53,302.93,304.05,24906,75.907,24906,75.935,709.4594595,100,340.5405405,175.2921536,154.601227,164.9466903,1.146438828,24830.093,24830.065,24830.079,0.109,294.9525,125352.5541,0.156089027,34.46081485
0.5,200,298.02,295.56,302.97,304.09,24202,71.23,24202,71.296,700,100,350,175,155.5555556,165.2777778,1.148352749,24130.77,24130.704,24130.737,0.1094,294.97,125000,0.15149101,34.43287037
0.52,200,298.06,295.59,303,304.14,23556,67.073,23556,67.125,690.7894737,100,359.2105263,174.7088186,156.4469914,165.577905,1.15026667,23488.927,23488.875,23488.901,0.1099,294.9875,124804.9922,0.147238182,34.44158191
0.54,200,298.11,295.62,303.04,304.18,22960,63.362,22960,63.393,681.8181818,100,368.1818182,174.4186047,157.2815534,165.850079,1.152180592,22896.638,22896.607,22896.6225,0.1103,295.0075,124494.2421,0.143284243,34.41229983
0.56,200,298.15,295.64,303.08,304.22,22409,60.045,22409,59.846,673.0769231,100,376.9230769,174.1293532,158.0645161,166.0969347,1.154094513,22348.955,22349.154,22349.0545,0.1107,295.0225,124107.9739,0.13960162,34.35659007
0.26,300,296.32,294.5,301.47,302.42,70899,444.23,70899,441.42,833.3333333,100,216.6666667,178.5714286,136.8421053,157.7067669,1.688078541,70454.77,70457.58,70456.175,0.0927,294.28,139082.0584,0.19531542,36.55696961
0.28,300,296.36,294.53,301.51,302.47,65588,382.33,65587,380.27,820.3125,100,229.6875,178.2682513,139.3364929,158.8023721,1.690949423,65205.67,65206.73,65206.2,0.0932,294.2975,138648.1802,0.181399915,36.69609985
0.3,300,296.41,294.55,301.55,302.51,61147,333.28,61146,333.73,807.6923077,100,242.3076923,177.9661017,141.5730337,159.7695677,1.693820305,60813.72,60812.27,60812.995,0.0936,294.315,138217.0007,0.169632172,36.80478408
0.32,300,296.45,294.57,301.59,302.55,57383,293.98,57382,294.39,795.4545455,100,254.5454545,177.6649746,143.5897436,160.6273591,1.696691187,57089.02,57087.61,57088.315,0.094,294.33,137741.0468,0.15955616,36.87496765
0.34,300,296.49,294.59,301.63,302.6,54153,262.03,54152,261.68,783.5820896,100,266.4179104,177.3648649,145.4175153,161.3911901,1.699562069,53890.97,53890.32,53890.645,0.0945,294.345,137268.3596,0.150824392,36.9231732
0.36,300,296.53,294.61,301.67,302.64,51350,234.88,51349,234.69,772.0588235,100,277.9411765,177.0657673,147.0817121,162.0737397,1.702432951,51115.12,51114.31,51114.715,0.0949,294.36,136798.9056,0.143176256,36.95251703
0.38,300,296.57,294.63,301.71,302.68,48895,212.28,48894,211.22,760.8695652,100,289.1304348,176.7676768,148.603352,162.6855144,1.705303833,48682.72,48682.78,48682.75,0.0953,294.375,136332.6517,0.136418381,36.96557927
0.4,300,296.61,294.65,301.74,302.72,46727,193.02,46726,192.06,750,100,300,176.4705882,150,163.2352941,1.708174714,46533.98,46533.94,46533.96,0.0957,294.39,136054.4218,0.130398303,37.01480592
0.42,300,296.64,294.68,301.78,302.76,44798,176.54,44798,175.41,739.4366197,100,310.5633803,176.1744966,151.2864494,163.730473,1.711045596,44621.46,44622.59,44622.025,0.0961,294.405,135593.2203,0.124999439,37.00123684
0.44,300,296.68,294.7,301.81,302.8,43072,162.15,43071,162.2,729.1666667,100,320.8333333,175.879397,152.4752475,164.1773223,1.713916478,42909.85,42908.8,42909.325,0.0965,294.42,135317.9973,0.120126267,37.02691075
0.46,300,296.71,294.72,301.85,302.84,41516,149.84,41516,149.9,719.1780822,100,330.8219178,175.5852843,153.5771065,164.5811954,1.71678736,41366.16,41366.1,41366.13,0.0969,294.4325,134816.3128,0.115702976,36.98038319
